time_stamp,1D,3D,1W,2W
20-Feb-20,0.06,0.08,-0.15,-0.15
21-Feb-20,0.05,0.05,-0.02,-0.26
22-Feb-20,-0.03,-0.06,-0.14,-0.32
23-Feb-20,0.03,-0.13,-0.12,-0.31
24-Feb-20,-0.06,-0.26,-0.23,-0.52
25-Feb-20,-0.10,-0.01,-0.08,-0.21
26-Feb-20,-0.10,0.02,-0.10,-0.12
27-Feb-20,0.20,0.11,0.01,-0.08
28-Feb-20,-0.08,-0.17,-0.24,-0.86
29-Feb-20,-0.01,0.00,-0.17,-0.41
01-Mar-20,-0.08,-0.10,-0.19,-0.62
02-Mar-20,0.09,-0.02,-0.29,-0.59
03-Mar-20,-0.11,-0.16,-0.13,-0.66
04-Mar-20,0.00,-0.06,-0.02,-0.53
05-Mar-20,-0.05,-0.09,-0.08,-0.58
06-Mar-20,-0.01,-0.21,-0.62,-0.42
07-Mar-20,-0.03,0.05,-0.24,-0.38
08-Mar-20,-0.18,0.06,-0.43,-0.39
09-Mar-20,0.25,0.18,-0.31,-0.30
10-Mar-20,-0.01,-0.66,-0.54,-0.51
11-Mar-20,-0.06,-0.27,-0.51,-0.44
12-Mar-20,-0.59,-0.44,-0.49,-0.25
13-Mar-20,0.38,0.10,0.20,0.43
14-Mar-20,-0.22,-0.25,-0.14,-0.02
15-Mar-20,-0.05,-0.01,0.04,0.21
16-Mar-20,0.02,-0.01,0.01,0.26
17-Mar-20,0.02,0.08,0.03,0.31
18-Mar-20,-0.05,0.10,0.07,0.29
19-Mar-20,0.11,0.10,0.24,0.35
20-Mar-20,0.04,-0.09,0.23,0.32
21-Mar-20,-0.04,-0.09,0.12,0.28
22-Mar-20,-0.09,0.01,0.16,0.31
23-Mar-20,0.04,0.23,0.25,0.39
24-Mar-20,0.06,0.28,0.29,0.53
25-Mar-20,0.13,0.15,0.23,0.44
26-Mar-20,0.09,0.02,0.11,0.29
27-Mar-20,-0.08,-0.08,0.09,0.10
28-Mar-20,0.00,0.08,0.17,0.18
29-Mar-20,0.00,0.07,0.14,0.16
30-Mar-20,0.08,0.09,0.14,0.22
31-Mar-20,0.00,0.09,0.24,0.11
01-Apr-20,0.01,0.09,0.22,0.09
02-Apr-20,0.08,0.06,0.18,0.04
03-Apr-20,0.00,-0.02,0.02,0.12
04-Apr-20,-0.02,0.15,0.01,0.10
05-Apr-20,0.00,0.15,0.01,0.15
06-Apr-20,0.18,0.12,0.07,0.11
07-Apr-20,-0.02,-0.14,-0.13,-0.09
08-Apr-20,-0.03,-0.12,-0.13,-0.08
09-Apr-20,-0.09,-0.11,-0.14,-0.03
10-Apr-20,0.00,0.03,0.10,0.01
11-Apr-20,-0.02,0.01,0.08,-0.04
12-Apr-20,0.06,0.01,0.14,-0.06
13-Apr-20,-0.02,-0.09,0.04,-0.03
14-Apr-20,-0.03,0.09,0.03,0.11
15-Apr-20,-0.04,0.10,0.05,0.15
16-Apr-20,0.16,0.17,0.11,0.26
17-Apr-20,-0.02,-0.03,-0.09,-0.02
18-Apr-20,0.04,-0.04,-0.12,0.05
19-Apr-20,-0.04,-0.08,-0.20,0.06
20-Apr-20,-0.03,-0.02,-0.07,0.06
21-Apr-20,-0.01,-0.03,0.08,0.06
22-Apr-20,0.02,-0.08,0.10,0.18
23-Apr-20,-0.05,-0.14,0.15,0.14
24-Apr-20,-0.05,0.00,0.07,0.25
25-Apr-20,-0.04,0.17,0.17,0.32
26-Apr-20,0.09,0.22,0.25,0.36
27-Apr-20,0.12,0.20,0.13,0.15
28-Apr-20,0.01,-0.04,-0.02,0.01
29-Apr-20,0.07,-0.01,0.08,0.02
30-Apr-20,-0.13,-0.03,-0.01,-0.12
01-May-20,0.05,0.06,0.18,0.10
02-May-20,0.05,-0.02,0.15,0.06
03-May-20,-0.04,0.04,0.11,0.04
04-May-20,-0.03,0.06,0.02,0.04
05-May-20,0.11,0.15,0.03,0.14
06-May-20,-0.02,0.06,-0.06,-0.02
07-May-20,0.06,0.08,-0.11,-0.04
08-May-20,0.02,-0.10,-0.08,-0.15
09-May-20,0.01,-0.14,-0.09,-0.10
10-May-20,-0.13,-0.12,-0.07,-0.12
11-May-20,-0.02,-0.07,0.03,-0.01
12-May-20,0.03,0.05,0.11,0.02
13-May-20,-0.07,0.03,0.04,-0.02
14-May-20,0.09,0.13,0.07,0.00
15-May-20,0.01,0.00,-0.07,-0.09
16-May-20,0.03,0.05,-0.01,-0.10
17-May-20,-0.03,-0.01,-0.05,-0.04
18-May-20,0.06,-0.02,-0.03,-0.03
19-May-20,-0.04,-0.13,-0.09,-0.08
20-May-20,-0.04,-0.02,-0.06,-0.06
21-May-20,-0.05,0.00,-0.08,0.05
22-May-20,0.07,0.04,-0.02,0.17
23-May-20,-0.01,-0.02,-0.09,0.11
24-May-20,-0.02,-0.03,0.01,0.12
25-May-20,0.01,-0.06,0.01,
26-May-20,-0.02,-0.06,0.01,
27-May-20,-0.05,-0.05,0.00,
28-May-20,0.01,0.09,0.13,
29-May-20,0.00,0.06,0.18,
30-May-20,0.09,0.07,0.19,
31-May-20,-0.03,-0.04,0.11,
01-Jun-20,0.01,0.06,,
02-Jun-20,-0.02,0.11,,
03-Jun-20,0.07,0.14,,
04-Jun-20,0.06,0.07,,
05-Jun-20,0.01,,,
06-Jun-20,,,,
07-Jun-20,,,,
