opcode,client,runtime_ms,conf_int_low,conf_int_high,new_gas,new_gas_rounded,new_gas_conf_int_low,new_gas_conf_int_high,param
MULMOD,reth,4.122486252462118e-05,4.0748305760621686e-05,4.168609321750316e-05,2.473491751477271,3.0,3.0,3.0,constant
MULMOD,nethermind,6.510595747098898e-05,6.432420285828571e-05,6.585247961500654e-05,3.9063574482593384,4.0,4.0,4.0,constant
MULMOD,geth,6.966007098097254e-05,6.897117566808324e-05,7.030233137745958e-05,4.179604258858352,5.0,5.0,5.0,constant
MULMOD,besu,0.0001779345235536,0.0001752304761973,0.0001804219261547,10.676071413216,11.0,11.0,11.0,constant
MULMOD,erigon,7.370001731313129e-05,7.315269920917222e-05,7.426346436921999e-05,4.422001038787878,5.0,5.0,5.0,constant
ADDMOD,reth,2.814932336082251e-05,2.7850242062900773e-05,2.843333676522041e-05,1.6889594016493505,2.0,2.0,2.0,constant
ADDMOD,nethermind,3.3711856525521e-05,3.325485811535976e-05,3.421840213865916e-05,2.0227113915312596,3.0,2.0,3.0,constant
ADDMOD,geth,5.52660815660928e-05,5.473102371079995e-05,5.583263847636066e-05,3.3159648939655675,4.0,4.0,4.0,constant
ADDMOD,besu,0.0001247171453357,0.0001228064556525,0.0001267215982625,7.483028720142,8.0,8.0,8.0,constant
ADDMOD,erigon,5.969273371428571e-05,5.9212480480426735e-05,6.0174688312895874e-05,3.5815640228571426,4.0,4.0,4.0,constant
SMOD,reth,1.3086917319570711e-05,1.2902657867020082e-05,1.326973608543253e-05,0.7852150391742426,1.0,1.0,1.0,constant
SMOD,nethermind,1.5910646695325347e-05,1.5718179095593672e-05,1.608970642201713e-05,0.9546388017195209,1.0,1.0,1.0,constant
SMOD,geth,3.013052465853887e-05,2.9621985181266935e-05,3.0672457525053685e-05,1.8078314795123323,2.0,2.0,2.0,constant
SMOD,besu,4.090527773972282e-05,4.036244548817165e-05,4.1418603854915285e-05,2.454316664383369,3.0,3.0,3.0,constant
SMOD,erigon,3.3039505562289556e-05,3.221869734439634e-05,3.456664010582857e-05,1.9823703337373733,2.0,2.0,3.0,constant
MOD,reth,3.7513527228535384e-05,3.706191720022648e-05,3.79219698367083e-05,2.2508116337121233,3.0,3.0,3.0,constant
MOD,nethermind,4.644788457693211e-05,4.595313093772443e-05,4.692387577185582e-05,2.7868730746159263,3.0,3.0,3.0,constant
MOD,geth,5.34000376706601e-05,5.285540398476975e-05,5.3940058684234286e-05,3.2040022602396063,4.0,4.0,4.0,constant
MOD,besu,0.0001947559691721,0.0001915464987396,0.0001977872489062,11.685358150326001,12.0,12.0,12.0,constant
MOD,erigon,5.574532649158248e-05,5.4502540829687296e-05,5.716714003347427e-05,3.344719589494949,4.0,4.0,4.0,constant
SMOD,reth,1.3086917319570711e-05,1.2902657867020082e-05,1.326973608543253e-05,0.7852150391742426,1.0,1.0,1.0,constant
SMOD,nethermind,1.5910646695325347e-05,1.5718179095593672e-05,1.608970642201713e-05,0.9546388017195209,1.0,1.0,1.0,constant
SMOD,geth,3.013052465853887e-05,2.9621985181266935e-05,3.0672457525053685e-05,1.8078314795123323,2.0,2.0,2.0,constant
SMOD,besu,4.090527773972282e-05,4.036244548817165e-05,4.1418603854915285e-05,2.454316664383369,3.0,3.0,3.0,constant
SMOD,erigon,3.3039505562289556e-05,3.221869734439634e-05,3.456664010582857e-05,1.9823703337373733,2.0,2.0,3.0,constant
DIV,reth,5.3284223116792904e-05,5.266384025095325e-05,5.382882490268293e-05,3.1970533870075744,4.0,4.0,4.0,constant
DIV,nethermind,6.247302395019968e-05,6.172595390895508e-05,6.32222287215741e-05,3.74838143701198,4.0,4.0,4.0,constant
DIV,geth,6.957366549119096e-05,6.869860981189343e-05,7.044870857860539e-05,4.1744199294714575,5.0,5.0,5.0,constant
DIV,besu,0.0002434483814503,0.0002390662142723,0.0002476933545925,14.606902887018,15.0,15.0,15.0,constant
DIV,erigon,7.04885611178451e-05,6.99556151312451e-05,7.105241219042128e-05,4.2293136670707066,5.0,5.0,5.0,constant
SDIV,reth,6.755685860227272e-05,6.672041824956456e-05,6.825212565955567e-05,4.0534115161363635,5.0,5.0,5.0,constant
SDIV,nethermind,8.233433567958656e-05,8.108361016787985e-05,8.365644163425102e-05,4.940060140775194,5.0,5.0,6.0,constant
SDIV,geth,7.36352066154569e-05,7.279176631504983e-05,7.451149675695213e-05,4.418112396927414,5.0,5.0,5.0,constant
SDIV,besu,0.0003246742428832,0.0003192141879924,0.0003293068989389,19.480454572992,20.0,20.0,20.0,constant
SDIV,erigon,7.479461905723907e-05,7.408303052200749e-05,7.538696414246743e-05,4.487677143434343,5.0,5.0,5.0,constant
POINT_EVALUATION,reth,1.4860655208333338,1.4701464875663408,1.4985006937833971,89163.93125000002,89164.0,88209.0,89911.0,constant
POINT_EVALUATION,nethermind,1.4893738461592667,1.4750492981700547,1.4982486249707765,89362.430769556,89363.0,88503.0,89895.0,constant
POINT_EVALUATION,geth,1.483455985017618,1.4683491831275108,1.496230796039117,89007.35910105708,89008.0,88101.0,89774.0,constant
POINT_EVALUATION,besu,1.48434345875969,1.4710449569239366,1.4964371286276292,89060.6075255814,89061.0,88263.0,89787.0,constant
BLS12_G1ADD,reth,0.00513250435625,0.0050699319010047,0.0051961215420493,307.950261375,308.0,305.0,312.0,constant
BLS12_G1ADD,nethermind,0.0059072558435799,0.0058326565308859,0.0059769081788252,354.435350614794,355.0,350.0,359.0,constant
