opcode,client,nobs,intercept,intercept_pvalue,rsquared,rsquared_adj,slope,slope_pvalue,slope_conf_int_low,slope_conf_int_high,msg_size,msg_size_pvalue,msg_size_conf_int_low,msg_size_conf_int_high,num_rounds,num_rounds_pvalue,num_rounds_conf_int_low,num_rounds_conf_int_high,num_pairs,num_pairs_pvalue,num_pairs_conf_int_low,num_pairs_conf_int_high
MULMOD,reth,320,31.423090624999958,0.0,0.9894206751599587,0.9893874068428516,4.122486252462118e-05,0.0,4.0748305760621686e-05,4.168609321750316e-05,,,,,,,,,,,,
MULMOD,nethermind,430,28.636850821705355,0.0,0.9862091175314344,0.9861768958434237,6.510595747098898e-05,0.0,6.432420285828571e-05,6.585247961500654e-05,,,,,,,,,,,,
MULMOD,geth,430,31.03777493023244,0.0,0.9901686172714429,0.9901456467510491,6.966007098097254e-05,0.0,6.897117566808324e-05,7.030233137745958e-05,,,,,,,,,,,,
MULMOD,besu,430,40.8900929457363,0.005,0.980303802396174,0.980257783242894,0.00017793452355367628,0.0,0.00017523047619730594,0.0001804219261547354,,,,,,,,,,,,
MULMOD,erigon,30,27.708088666666782,0.0,0.9996893325835903,0.9996782373187185,7.370001731313129e-05,0.0,7.315269920917222e-05,7.426346436921999e-05,,,,,,,,,,,,
ADDMOD,reth,320,32.29434126666661,0.0,0.9911528217458792,0.9911250004306146,2.814932336082251e-05,0.0,2.7850242062900773e-05,2.8433336765220406e-05,,,,,,,,,,,,
ADDMOD,nethermind,430,26.224405255814,0.0,0.9860143645299028,0.9859816878115147,3.3711856525521e-05,0.0,3.325485811535976e-05,3.421840213865916e-05,,,,,,,,,,,,
ADDMOD,geth,430,32.576627875968995,0.0,0.9894570907966578,0.9894324578312295,5.5266081566092804e-05,0.0,5.473102371079995e-05,5.583263847636066e-05,,,,,,,,,,,,
ADDMOD,besu,430,35.68488900775208,0.006,0.9795099179917237,0.9794620439683399,0.00012471714533574953,0.0,0.0001228064556525961,0.00012672159826257454,,,,,,,,,,,,
ADDMOD,erigon,30,29.492009333333307,0.0,0.9995020129517043,0.9994842276999795,5.9692733714285716e-05,0.0,5.9212480480426735e-05,6.0174688312895874e-05,,,,,,,,,,,,
SMOD,reth,320,31.819448695833337,0.0,0.9861203727648584,0.9860767261383329,1.3086917319570711e-05,0.0,1.2902657867020082e-05,1.326973608543253e-05,,,,,,,,,,,,
SMOD,nethermind,430,30.320751127131786,0.0,0.9850756366555614,0.9850407666477473,1.5910646695325347e-05,0.0,1.5718179095593672e-05,1.608970642201713e-05,,,,,,,,,,,,
SMOD,geth,430,33.37296566201554,0.0,0.9580737110725466,0.9579757524535572,3.013052465853887e-05,0.0,2.9621985181266935e-05,3.0672457525053685e-05,,,,,,,,,,,,
SMOD,besu,430,30.391704341085305,0.0,0.9841466666452713,0.9841096261467789,4.090527773972282e-05,0.0,4.036244548817165e-05,4.1418603854915285e-05,,,,,,,,,,,,
SMOD,erigon,30,22.293829555555575,0.011,0.9926493176605374,0.9923867932912709,3.3039505562289556e-05,0.0,3.221869734439634e-05,3.456664010582857e-05,,,,,,,,,,,,
MOD,reth,320,34.66630935416656,0.0,0.9908524025882003,0.9908236365586034,3.7513527228535384e-05,0.0,3.706191720022648e-05,3.79219698367083e-05,,,,,,,,,,,,
MOD,nethermind,430,30.14136778294575,0.0,0.9900332163633593,0.9900099294857035,4.644788457693211e-05,0.0,4.595313093772443e-05,4.692387577185582e-05,,,,,,,,,,,,
MOD,geth,430,33.665542387596886,0.0,0.9849275914718948,0.9848923755641188,5.34000376706601e-05,0.0,5.285540398476975e-05,5.3940058684234286e-05,,,,,,,,,,,,
MOD,besu,430,42.79353779844965,0.013,0.9769436046187839,0.9768897345361175,0.000194755969172187,0.0,0.0001915464987396905,0.0001977872489062584,,,,,,,,,,,,
MOD,erigon,30,39.07323755555561,0.0,0.9960684519133965,0.9959280394817321,5.574532649158248e-05,0.0,5.4502540829687296e-05,5.716714003347427e-05,,,,,,,,,,,,
SMOD,reth,320,31.819448695833337,0.0,0.9861203727648584,0.9860767261383329,1.3086917319570711e-05,0.0,1.2902657867020082e-05,1.326973608543253e-05,,,,,,,,,,,,
